,cancer type,gene,Article p_value,R p_value,Lorsi p_value,num of samples,better group survival,delta tested,max k changes with chosen alpha,max k changes to stay stable,max alpha to stay stable,p_value upper with max changes k,p_value upper on alpha 0.01,p_value upper one change,is greedy algo correct up to alpha,k changes to reach disagreement,p_value when disagreement,p_value greedy on alpha 0.01
945,Bladder,IFNG,0.008401,0.040129,0.047176,405,B,0.05,4.0,0.0,0.0,0.047176,0.1738438725008509,0.0660544942903324,True,,,0.173844
946,Bladder,RARA,0.008307,0.011363,0.014603,405,A,0.05,4.0,2.0,0.0049,0.039812,0.0881889481236777,0.0196701594964422,True,,,0.088189
947,Bladder,NOP10,0.013512,0.008413,0.008581,405,A,0.05,4.0,,,0.043589,0.0435892085971155,0.0127242905935437,True,,,0.043589
948,Bladder,TNFRSF10C,0.12532,0.095461,0.095986,405,A,0.05,,,,,,,,,,
949,Bladder,XRCC3,0.097743,0.202982,0.183021,405,B,0.05,,,,,,,,,,
950,Bladder,BCL2A1,0.38687,0.306883,0.387237,405,B,0.05,,,,,,,,,,
951,Bladder,ICAM3,0.117938,0.345619,0.336185,405,B,0.05,,,,,,,,,,
952,Bladder,HDAC6,0.000921,0.0007,0.000639,405,B,0.05,4.0,,,0.005284,0.0052839614967566,0.0010558180983517,True,,,0.005284
953,Bladder,PPARGC1B,0.037392,0.10139,0.083131,405,A,0.05,,,,,,,,,,
954,Bladder,NDUFB10,0.070402,0.060022,0.058477,405,B,0.05,,,,,,,,,,
955,Bladder,CXCR4,0.152222,0.203089,0.171185,405,B,0.05,,,,,,,,,,
956,Bladder,MMP1,0.055283,0.02247,0.028688,405,B,0.05,4.0,1.0,0.0025,0.039947,0.1253555785215826,0.0399465078910237,True,,,0.125356
957,Bladder,PRKDC,0.02315,0.028395,0.034932,405,B,0.05,4.0,0.0,0.0,0.034932,0.237878466733384,0.0546154543001849,True,,,0.237878
958,Bladder,STK11,0.005283,0.003081,0.002693,405,B,0.05,4.0,,,0.017954,0.0179537318897808,0.0041790916371831,True,,,0.017954
959,Bladder,PROK2,,0.301816,0.242365,405,A,0.05,,,,,,,,,,
960,Bladder,F3,0.09584,0.179222,0.183027,405,A,0.05,,,,,,,,,,
961,Bladder,AURKB,0.558046,0.344234,0.297071,405,A,0.05,,,,,,,,,,
962,Bladder,ACTN3,0.706825,0.471355,0.451922,405,B,0.05,,,,,,,,,,
963,Bladder,VEGFC,0.269884,0.235534,0.19255,405,B,0.05,,,,,,,,,,
964,Bladder,HK3,0.106242,0.084897,0.069713,405,A,0.05,,,,,,,,,,
965,Bladder,ERCC1,0.330763,0.348476,0.355618,405,A,0.05,,,,,,,,,,
966,Bladder,RPE,0.069905,0.091031,0.065901,405,A,0.05,,,,,,,,,,
967,Bladder,TNFRSF1B,0.135372,0.151502,0.161395,405,B,0.05,,,,,,,,,,
968,Bladder,SDHB,0.205864,0.071755,0.06173,405,B,0.05,,,,,,,,,,
969,Bladder,HDAC3,0.20034,0.168789,0.157946,405,B,0.05,,,,,,,,,,
970,Bladder,PRC1,0.066767,0.106886,0.09134,405,B,0.05,,,,,,,,,,
971,Bladder,GSK3B,0.079018,0.153043,0.186907,405,A,0.05,,,,,,,,,,
972,Bladder,STAT1,0.053976,0.057882,0.066454,405,B,0.05,,,,,,,,,,
973,Bladder,CHEK2,0.017742,0.012283,0.010389,405,B,0.05,4.0,3.0,0.0074,0.037954,0.0556201092031749,0.0159715104791548,True,,,0.05562
974,Bladder,EGFR,7.1e-05,2.1e-05,1.8e-05,405,A,0.05,4.0,,,0.000284,0.0002835338273432,3.322091972323733e-05,True,,,0.000284
975,Bladder,ESR1,0.187622,0.153428,0.156714,405,A,0.05,,,,,,,,,,
976,Bladder,RUNX3,0.183971,0.249106,0.210994,405,A,0.05,,,,,,,,,,
977,Bladder,COX6B1,0.002769,0.0116,0.010943,405,A,0.05,4.0,3.0,0.0074,0.04968,0.0741590631026559,0.0164187874006388,True,,,0.074159
978,Bladder,RND3,0.103087,0.106737,0.094215,405,A,0.05,,,,,,,,,,
979,Bladder,ALDOB,0.483735,0.320731,0.346716,405,B,0.05,,,,,,,,,,
980,Bladder,VHL,0.001286,0.000668,0.000507,405,B,0.05,4.0,,,0.004095,0.0040951828365777,0.0008518095851833,True,,,0.004095
981,Bladder,BCL2L1,0.074081,0.028423,0.037194,405,A,0.05,4.0,0.0,0.0,0.037194,0.2474314181241535,0.0578753788091855,True,,,0.247431
982,Bladder,PAX8,0.106834,0.176517,0.228628,405,B,0.05,,,,,,,,,,
983,Bladder,GYS1,0.050426,0.029991,0.03078,405,B,0.05,4.0,1.0,0.0025,0.043185,0.117347478157611,0.0431853774369048,True,,,0.117347
984,Bladder,CCNF,0.454252,0.443832,0.509265,405,B,0.05,,,,,,,,,,
985,Bladder,PINX1,0.019275,0.135629,0.156875,405,A,0.05,,,,,,,,,,
986,Bladder,PDP2,0.124004,0.150807,0.120733,405,B,0.05,,,,,,,,,,
987,Bladder,NDUFB5,0.162107,0.226356,0.258769,405,A,0.05,,,,,,,,,,
988,Bladder,MSH3,0.229781,0.198287,0.20246,405,A,0.05,,,,,,,,,,
989,Bladder,MDC1,0.465415,0.308451,0.304971,405,B,0.05,,,,,,,,,,
990,Bladder,BRIP1,0.017154,0.030038,0.039758,405,B,0.05,4.0,0.0,0.0,0.039758,0.1481826644253608,0.0553396389686512,True,,,0.148183
991,Bladder,NDUFA8,0.03354,0.054282,0.046792,405,B,0.05,4.0,0.0,0.0,0.046792,0.1836572672008753,0.0669262882627756,True,,,0.183657
992,Bladder,MMP10,0.001616,0.000214,0.000181,405,B,0.05,4.0,,,0.001977,0.0019773488046585,0.0003179320402302,True,,,0.001977
993,Bladder,CXCL12,0.008283,0.005806,0.005969,405,A,0.05,4.0,,,0.0312,0.0312002098687344,0.0089828487737308,True,,,0.0312
994,Bladder,PDHB,0.11694,0.289532,0.227303,405,B,0.05,,,,,,,,,,
995,Bladder,TNF,0.4755,0.300882,0.303587,405,B,0.05,,,,,,,,,,
996,Bladder,TIMP1,0.323723,0.513639,0.379083,405,A,0.05,,,,,,,,,,
997,Bladder,ANG,0.392022,0.192805,0.235568,405,B,0.05,,,,,,,,,,
998,Bladder,IGFBP7,0.10291,0.070941,0.053592,405,A,0.05,,,,,,,,,,
999,Bladder,BLC,7.4e-05,0.000114,7.7e-05,405,B,0.05,4.0,,,0.000806,0.000806111465652,0.0001379385705079,True,,,0.000806
1000,Bladder,E2F1,0.364763,0.328395,0.370227,405,B,0.05,,,,,,,,,,
1001,Bladder,SOCS3,0.096708,0.190871,0.159889,405,B,0.05,,,,,,,,,,
1002,Bladder,CDKN2A,0.461847,0.333993,0.311325,405,B,0.05,,,,,,,,,,
1003,Bladder,TERF2,0.126225,0.143908,0.146788,405,B,0.05,,,,,,,,,,
1004,Bladder,RAD54L,0.481623,0.399806,0.347408,405,B,0.05,,,,,,,,,,
1005,Bladder,CASP6,0.007699,0.004063,0.00544,405,B,0.05,4.0,,,0.033335,0.0333347925270154,0.0084177290621761,True,,,0.033335
1006,Bladder,PTN,0.019358,0.006264,0.004617,405,A,0.05,4.0,,,0.026446,0.026445679620061,0.0072055749277734,True,,,0.026446
1007,Bladder,RELB,0.017276,0.035557,0.048104,405,B,0.05,4.0,0.0,0.0,0.048104,0.1752250759640343,0.066482258770501,True,,,0.175225
1008,Bladder,NDUFS3,0.001227,0.001203,0.001058,405,B,0.05,4.0,,,0.009794,0.0097943093662559,0.0017708249661138,True,,,0.009794
1009,Bladder,SNAI1,0.034295,0.042746,0.031891,405,B,0.05,4.0,1.0,0.0025,0.042754,0.1439488494033211,0.0427536844963269,True,,,0.143949
1010,Bladder,ROCK1,0.17438,0.160615,0.167719,405,B,0.05,,,,,,,,,,
1011,Bladder,CXCL3,0.226633,0.185862,0.191281,405,B,0.05,,,,,,,,,,
1012,Bladder,CDK1,0.18353,0.09693,0.080094,405,B,0.05,,,,,,,,,,
1013,Bladder,ARHGDIA,0.008357,0.024903,0.020659,405,A,0.05,4.0,2.0,0.0049,0.049998,0.1064861187930759,0.0302190161452759,True,,,0.106486
1014,Bladder,MEN1,0.454142,0.507982,0.458723,405,B,0.05,,,,,,,,,,
1015,Bladder,LTA,0.295603,0.33751,0.398695,405,B,0.05,,,,,,,,,,
1016,Bladder,NRP2,5.7e-05,1.7e-05,7e-06,405,A,0.05,4.0,,,0.000133,0.0001329889659414,1.248477937654994e-05,True,,,0.000133
1017,Bladder,CST7,0.112809,0.128686,0.150195,405,B,0.05,,,,,,,,,,
1018,Bladder,DDB1,0.000699,0.000359,0.000509,405,A,0.05,4.0,,,0.005439,0.0054392340632157,0.0008674887147909,True,,,0.005439
1019,Bladder,DLAT,0.126257,0.119823,0.139064,405,A,0.05,,,,,,,,,,
1020,Bladder,RAF1,0.033569,0.029266,0.031487,405,B,0.05,4.0,1.0,0.0025,0.043739,0.1192902456008978,0.0437390422971122,True,,,0.11929
1021,Bladder,RAD17,0.046301,0.024282,0.0232,405,B,0.05,4.0,2.0,0.0049,0.048985,0.0949784538714176,0.0331190710019429,True,,,0.094978
1022,Bladder,ENAH,0.020953,0.025717,0.030396,405,A,0.05,4.0,1.0,0.0025,0.044543,0.1331873029221434,0.0445432107480177,True,,,0.133187
1023,Bladder,BARD1,0.215704,0.215544,0.265962,405,A,0.05,,,,,,,,,,
1024,Bladder,PLD1,2.4e-05,1.4e-05,1.3e-05,405,A,0.05,4.0,,,0.000192,0.0001922255197918,2.49447918421925e-05,True,,,0.000192
1025,Bladder,ABL1,0.117139,0.053692,0.066434,405,A,0.05,,,,,,,,,,
1026,Bladder,NDUFA1,0.003857,0.003234,0.002803,405,B,0.05,4.0,,,0.018678,0.0186777649000201,0.0043455950485311,True,,,0.018678
1027,Bladder,CFLAR,0.026155,0.048501,0.042185,405,B,0.05,4.0,0.0,0.0,0.042185,0.1733787217371692,0.059155989189383,True,,,0.173379
1028,Bladder,NDUFV1,0.242768,0.168785,0.191314,405,B,0.05,,,,,,,,,,
1029,Bladder,AREG,0.011731,0.011507,0.009058,405,A,0.05,4.0,,,0.049401,0.0494005950511285,0.0139937741162416,True,,,0.049401
1030,Bladder,ERCC8,0.107816,0.264838,0.236827,405,A,0.05,,,,,,,,,,
1031,Bladder,CCNO,0.007055,0.01867,0.017945,405,B,0.05,4.0,2.0,0.0049,0.03975,0.0799417738227407,0.0255536073006528,True,,,0.079942
1032,Bladder,RAD23B,0.145824,0.142306,0.137002,405,B,0.05,,,,,,,,,,
1033,Bladder,BOK,0.082824,0.102642,0.071489,405,A,0.05,,,,,,,,,,
1034,Bladder,IGFBP2,0.180226,0.275697,0.246495,405,A,0.05,,,,,,,,,,
1035,Bladder,HSPA1B,0.07881,0.034284,0.031326,405,B,0.05,4.0,1.0,0.0025,0.043795,0.1254985529551969,0.043794975356581,True,,,0.125499
1036,Bladder,PMS1,0.000614,0.000433,0.000341,405,B,0.05,4.0,,,0.004274,0.0042742822635728,0.0006176986556113,True,,,0.004274
1037,Bladder,CAPN1,0.291094,0.259664,0.235941,405,A,0.05,,,,,,,,,,
1038,Bladder,RPIA,0.015851,0.006183,0.005651,405,B,0.05,4.0,,,0.031516,0.0315155278003381,0.0084421795922381,True,,,0.031516
1039,Bladder,IGF1,0.00892,0.002423,0.002493,405,B,0.05,4.0,,,0.019714,0.0197141328751805,0.0038261961383131,True,,,0.019714
1040,Bladder,NDUFS6,0.118351,0.073224,0.063304,405,B,0.05,,,,,,,,,,
1041,Bladder,OGG1,0.301728,0.307586,0.340553,405,A,0.05,,,,,,,,,,
1042,Bladder,TP53,0.137646,0.104861,0.091892,405,A,0.05,,,,,,,,,,
1043,Bladder,OGDH,0.003364,0.002714,0.003979,405,A,0.05,4.0,,,0.02269,0.0226896839601122,0.0060404586861487,True,,,0.02269
1044,Bladder,PEA15,0.166589,0.213921,0.174638,405,B,0.05,,,,,,,,,,
1045,Bladder,PYGL,0.000851,0.002632,0.002628,405,A,0.05,4.0,,,0.015708,0.0157076751658178,0.004084653045088,True,,,0.015708
1046,Bladder,ANPEP,0.015863,0.011923,0.006457,405,A,0.05,4.0,,,0.040318,0.0403178197964262,0.0099400605146138,True,,,0.040318
1047,Bladder,BAIAP2,6e-06,2.7e-05,2.8e-05,405,A,0.05,4.0,,,0.000351,0.0003505754489662,5.217823858151636e-05,True,,,0.000351
1048,Bladder,MSH6,0.026822,0.016113,0.016708,405,A,0.05,4.0,2.0,0.0049,0.036178,0.0720086752279327,0.0240289346922666,True,,,0.072009
1049,Bladder,UGP2,0.213523,0.167136,0.126005,405,B,0.05,,,,,,,,,,
1050,Bladder,FANCG,0.252761,0.196263,0.227086,405,B,0.05,,,,,,,,,,
1051,Bladder,MDH2,0.246293,0.273632,0.292745,405,B,0.05,,,,,,,,,,
1052,Bladder,CDKN2D,0.276757,0.136993,0.161867,405,A,0.05,,,,,,,,,,
1053,Bladder,FGF1,0.000932,0.00017,8.3e-05,405,A,0.05,4.0,,,0.000958,0.0009583412281233,0.0001469050936698,True,,,0.000958
1054,Bladder,CTTN,0.303219,0.077696,0.060255,405,B,0.05,,,,,,,,,,
1055,Bladder,KIT,0.371916,0.281927,0.247318,405,A,0.05,,,,,,,,,,
1056,Bladder,MSN,0.079614,0.098754,0.072403,405,B,0.05,,,,,,,,,,
1057,Bladder,CDC6,0.076174,0.061102,0.075331,405,B,0.05,,,,,,,,,,
1058,Bladder,CDKN3,0.070556,0.057266,0.075542,405,B,0.05,,,,,,,,,,
1059,Bladder,AGL,0.067902,0.027744,0.038968,405,A,0.05,4.0,0.0,0.0,0.038968,0.1453371246461391,0.0538060062003095,True,,,0.145337
1060,Bladder,BIRC5,0.095347,0.13226,0.12934,405,A,0.05,,,,,,,,,,
1061,Bladder,NDUFA4,0.171468,0.134583,0.16428,405,A,0.05,,,,,,,,,,
1062,Bladder,PXN,0.077531,0.036782,0.044576,405,A,0.05,4.0,0.0,0.0,0.044576,0.2691230850272603,0.0677192178359609,True,,,0.269123
1063,Bladder,ATRX,0.52724,0.453213,0.54993,405,B,0.05,,,,,,,,,,
1064,Bladder,WEE1,0.606821,0.367729,0.368469,405,B,0.05,,,,,,,,,,
1065,Bladder,MCM4,0.088001,0.23107,0.20504,405,A,0.05,,,,,,,,,,
1066,Bladder,FLT1,0.097789,0.150594,0.11112,405,A,0.05,,,,,,,,,,
1067,Bladder,CXCL6,0.165485,0.046637,0.03855,405,B,0.05,4.0,0.0,0.0,0.03855,0.1769776672148605,0.054040119144905,True,,,0.176978
1068,Bladder,WWOX,0.282452,0.346696,0.405786,405,A,0.05,,,,,,,,,,
1069,Bladder,CDK4,0.020677,0.019017,0.024695,405,A,0.05,4.0,1.0,0.0025,0.035074,0.1062789070512625,0.0350742880777188,True,,,0.106279
1070,Bladder,MSH2,0.150213,0.115046,0.134362,405,A,0.05,,,,,,,,,,
1071,Bladder,SP1,0.063471,0.025524,0.021492,405,B,0.05,4.0,2.0,0.0049,0.048887,0.1007609057475756,0.0319846664084555,True,,,0.100761
1072,Bladder,GADD45B,0.077207,0.185265,0.127745,405,A,0.05,,,,,,,,,,
1073,Bladder,NDUFS2,0.181408,0.142119,0.130816,405,B,0.05,,,,,,,,,,
1074,Bladder,EXO1,0.335355,0.290942,0.282311,405,B,0.05,,,,,,,,,,
1075,Bladder,KRAS,0.148266,0.174223,0.159504,405,A,0.05,,,,,,,,,,
1076,Bladder,MMS19,0.001874,0.002712,0.002215,405,A,0.05,4.0,,,0.017813,0.0178127380042214,0.0035665567223951,True,,,0.017813
1077,Bladder,NOD1,0.236803,0.169508,0.192081,405,B,0.05,,,,,,,,,,
1078,Bladder,PRPS1,0.083641,0.125728,0.114439,405,A,0.05,,,,,,,,,,
1079,Bladder,CDC16,0.016067,0.028388,0.029655,405,A,0.05,4.0,1.0,0.0025,0.040142,0.1428043052429409,0.0401415588075039,True,,,0.142804
1080,Bladder,NEIL1,0.002024,0.002757,0.002955,405,B,0.05,4.0,,,0.017437,0.0174366093874002,0.0045891940212943,True,,,0.017437
1081,Bladder,WRAP53,0.402912,0.55892,0.613869,405,B,0.05,,,,,,,,,,
1082,Bladder,ENO1,0.000823,0.003178,0.003305,405,A,0.05,4.0,,,0.019414,0.0194144214218475,0.0050797078783994,True,,,0.019414
1083,Bladder,PCNA,0.070285,0.175522,0.151797,405,B,0.05,,,,,,,,,,
1084,Bladder,FAP,0.010157,0.006929,0.005072,405,B,0.05,4.0,,,0.02578,0.0257804811492251,0.0071659051202823,True,,,0.02578
1085,Bladder,SLK,0.275686,0.18038,0.207732,405,A,0.05,,,,,,,,,,
1086,Bladder,RBKS,0.119774,0.152049,0.199992,405,A,0.05,,,,,,,,,,
1087,Bladder,JUNB,0.155668,0.047377,0.042726,405,A,0.05,4.0,0.0,0.0,0.042726,0.2293549696383688,0.0617212694024609,True,,,0.229355
1088,Bladder,MAD1L1,0.418444,0.529255,0.518152,405,B,0.05,,,,,,,,,,
1089,Bladder,SIRT1,0.33207,0.370786,0.328159,405,A,0.05,,,,,,,,,,
1090,Bladder,NDUFB4,7.1e-05,0.000276,0.000219,405,B,0.05,4.0,,,0.002797,0.0027972432929582,0.0003887141450255,True,,,0.002797
1091,Bladder,SUCLA2,0.004567,0.003061,0.002542,405,A,0.05,4.0,,,0.018465,0.0184653799065568,0.0041611644527218,True,,,0.018465
1092,Bladder,MYCN,0.296078,0.296381,0.273663,405,A,0.05,,,,,,,,,,
1093,Bladder,ETS1,0.006884,0.003943,0.005151,405,B,0.05,4.0,,,0.03968,0.0396800501396935,0.0081524005355574,True,,,0.03968
1094,Bladder,UNG,0.064243,0.083556,0.07216,405,B,0.05,,,,,,,,,,
1095,Bladder,NRAS,0.032004,0.042319,0.052362,405,A,0.05,,,,,,,,,,
1096,Bladder,JAG1,0.012069,0.009864,0.008065,405,A,0.05,4.0,3.0,0.0074,0.033154,0.0501625550776555,0.0123548416059411,True,,,0.050163
1097,Bladder,CSNK2A2,0.039189,0.033566,0.042516,405,B,0.05,4.0,0.0,0.0,0.042516,0.2318481848289057,0.0621816595724983,True,,,0.231848
1098,Bladder,RHOA,0.074633,0.036206,0.034179,405,A,0.05,4.0,1.0,0.0025,0.047194,0.1286616725770943,0.0471940432299616,True,,,0.128662
1099,Bladder,ZHX2,0.314741,0.319915,0.409787,405,A,0.05,,,,,,,,,,
1100,Bladder,MLH1,0.079924,0.07897,0.054737,405,B,0.05,,,,,,,,,,
1101,Bladder,PRKCA,0.128786,0.110318,0.100002,405,B,0.05,,,,,,,,,,
1102,Bladder,TPI1,0.018405,0.021024,0.021113,405,A,0.05,4.0,2.0,0.0049,0.045331,0.0891440300051573,0.0301603925694852,True,,,0.089144
1103,Bladder,BNIP3,0.319218,0.143064,0.167569,405,A,0.05,,,,,,,,,,
1104,Bladder,PYGM,0.171603,0.660158,0.661147,405,A,0.05,,,,,,,,,,
1105,Bladder,MMP9,0.004774,0.008855,0.006579,405,A,0.05,4.0,,,0.035086,0.0350863040726383,0.0099937648533451,True,,,0.035086
1106,Bladder,PPP2R1A,0.124503,0.129098,0.151314,405,B,0.05,,,,,,,,,,
1107,Bladder,RAC2,0.010745,0.005717,0.006289,405,B,0.05,4.0,,,0.032653,0.0326527334642078,0.0095079560471757,True,,,0.032653
1108,Bladder,WIPF1,0.037381,0.049039,0.040504,405,A,0.05,4.0,0.0,0.0,0.040504,0.1782745948708242,0.0597537180089849,True,,,0.178275
1109,Bladder,SUMO1,0.240366,0.145205,0.192356,405,B,0.05,,,,,,,,,,
1110,Bladder,CSF1,0.071344,0.10769,0.126921,405,B,0.05,,,,,,,,,,
1111,Bladder,PYCARD,0.076013,0.031606,0.029839,405,B,0.05,4.0,1.0,0.0025,0.041925,0.1184193011739298,0.0419245203883968,True,,,0.118419
1112,Bladder,AMOT,0.061613,0.21101,0.186089,405,B,0.05,,,,,,,,,,
1113,Bladder,IDH1,0.020783,0.018313,0.012407,405,A,0.05,4.0,2.0,0.0049,0.034288,0.0818479192642998,0.0184809287634856,True,,,0.081848
1114,Bladder,GADD45G,0.189025,0.108667,0.080566,405,B,0.05,,,,,,,,,,
1115,Bladder,MDM4,0.000451,0.000405,0.000396,405,B,0.05,4.0,,,0.003283,0.003282921510876,0.0006635936154052,True,,,0.003283
1116,Bladder,MAPK1,0.052612,0.018349,0.023862,405,A,0.05,4.0,1.0,0.0025,0.033899,0.0998600097237922,0.0338993335358981,True,,,0.09986
1117,Bladder,TP63,0.005523,0.005599,0.004708,405,B,0.05,4.0,,,0.030052,0.0300520540487221,0.007192817933256,True,,,0.030052
1118,Bladder,COX8A,0.155503,0.143734,0.1632,405,B,0.05,,,,,,,,,,
1119,Bladder,SUCLG1,0.193924,0.134289,0.118437,405,B,0.05,,,,,,,,,,
1120,Bladder,TEP1,0.294656,0.313573,0.390493,405,B,0.05,,,,,,,,,,
1121,Bladder,CCNB1,0.004323,0.011157,0.007809,405,B,0.05,4.0,3.0,0.0074,0.035761,0.0554534794605283,0.0115051652921304,True,,,0.055453
1122,Bladder,CYC1,0.064784,0.03324,0.028459,405,B,0.05,4.0,1.0,0.0025,0.039872,0.1300632995936071,0.0398716912022721,True,,,0.130063
1123,Bladder,PPA1,0.301196,0.43167,0.426688,405,B,0.05,,,,,,,,,,
1124,Bladder,NR4A3,0.159772,0.109606,0.108536,405,A,0.05,,,,,,,,,,
1125,Bladder,S100A4,0.026849,0.037631,0.037044,405,A,0.05,4.0,0.0,0.0,0.037044,0.1775232029112338,0.0511742901685601,True,,,0.177523
1126,Bladder,PGLS,0.022902,0.010742,0.009593,405,B,0.05,4.0,3.0,0.0074,0.034754,0.0506630815159494,0.0141269930045631,True,,,0.050663
1127,Bladder,ASB1,0.316786,0.208344,0.18516,405,A,0.05,,,,,,,,,,
1128,Bladder,MCM5,0.255314,0.325716,0.337274,405,B,0.05,,,,,,,,,,
1129,Bladder,NDUFS7,0.021265,0.007581,0.006914,405,B,0.05,4.0,,,0.037509,0.0375089467907377,0.0102945251259835,True,,,0.037509
1130,Bladder,PHKG1,0.075994,0.454523,0.500049,405,A,0.05,,,,,,,,,,
1131,Bladder,NTHL1,0.028286,0.020507,0.01816,405,B,0.05,4.0,2.0,0.0049,0.041673,0.0856323696638599,0.0260487052982629,True,,,0.085632
1132,Bladder,ZEB1,0.019786,0.009916,0.008198,405,A,0.05,4.0,,,0.049429,0.0494289371571944,0.0121121277705025,True,,,0.049429
1133,Bladder,TERF2IP,0.277479,0.381794,0.448449,405,A,0.05,,,,,,,,,,
1134,Bladder,COX5A,0.004446,0.006812,0.004328,405,B,0.05,4.0,,,0.024936,0.0249356602638582,0.0064929854323882,True,,,0.024936
1135,Bladder,KISS1,3.6e-05,1.3e-05,1e-05,405,B,0.05,4.0,,,0.000216,0.0002155467627543,1.930825510006912e-05,True,,,0.000216
1136,Bladder,PIDD1,0.02114,0.083084,0.078411,405,B,0.05,,,,,,,,,,
1137,Bladder,FADD,0.130147,0.101854,0.12323,405,B,0.05,,,,,,,,,,
1138,Bladder,NAP1L1,0.153134,0.140164,0.091611,405,A,0.05,,,,,,,,,,
1139,Bladder,NDUFA5,0.007339,0.015535,0.01206,405,B,0.05,4.0,3.0,0.0074,0.041079,0.0590925862916672,0.0181894068565756,True,,,0.059093
1140,Bladder,ANGPT2,0.063678,0.096312,0.077705,405,A,0.05,,,,,,,,,,
1141,Bladder,CDKN1A,0.039399,0.111082,0.096392,405,A,0.05,,,,,,,,,,
1142,Bladder,GADD45A,0.222199,0.09958,0.08826,405,B,0.05,,,,,,,,,,
1143,Bladder,SNAI3,0.18053,0.197568,0.226016,405,A,0.05,,,,,,,,,,
1144,Bladder,IDH3A,0.070031,0.042878,0.037353,405,A,0.05,4.0,0.0,0.0,0.037353,0.1571429710426827,0.0526774284413677,True,,,0.157143
1145,Bladder,AIMP2,0.001933,0.003124,0.002944,405,A,0.05,4.0,,,0.018283,0.0182825203949757,0.0045967864825159,True,,,0.018283
1146,Bladder,PLCG1,0.041105,0.038152,0.031014,405,B,0.05,4.0,1.0,0.0025,0.044173,0.1217606970849537,0.0441731801563109,True,,,0.121761
1147,Bladder,PRPS2,0.297047,0.266376,0.231732,405,B,0.05,,,,,,,,,,
1148,Bladder,CDH1,0.081659,0.037031,0.035858,405,B,0.05,4.0,1.0,0.0025,0.049239,0.1320702232714493,0.0492393767639476,True,,,0.13207
1149,Bladder,VIM,0.013231,0.014093,0.00975,405,A,0.05,4.0,,,0.046343,0.0463432154844627,0.0143753443523961,True,,,0.046343
1150,Bladder,FOS,0.032862,0.052425,0.059994,405,A,0.05,,,,,,,,,,
1151,Bladder,GPI,0.030294,0.040106,0.040579,405,A,0.05,4.0,0.0,0.0,0.040579,0.1495615938205271,0.0557362503302347,True,,,0.149562
1152,Bladder,ETS2,0.09487,0.094506,0.087865,405,A,0.05,,,,,,,,,,
1153,Bladder,CCND1,0.227357,0.243064,0.21734,405,B,0.05,,,,,,,,,,
1154,Bladder,ACO1,0.021447,0.043436,0.035559,405,B,0.05,4.0,1.0,0.0025,0.047074,0.1531177554689642,0.0470738198263643,True,,,0.153118
1155,Bladder,NDUFS1,0.027148,0.019321,0.026327,405,A,0.05,4.0,1.0,0.0025,0.036769,0.105830479406436,0.0367685505609046,True,,,0.10583
1156,Bladder,NDUFB7,0.023634,0.027349,0.033957,405,B,0.05,4.0,1.0,0.0025,0.047487,0.1497694385506055,0.0474873963900896,True,,,0.149769
1157,Bladder,FEN1,0.033223,0.084594,0.100045,405,B,0.05,,,,,,,,,,
1158,Bladder,IDH3G,0.276859,0.158459,0.182292,405,B,0.05,,,,,,,,,,
1159,Bladder,RAC1,0.010712,0.042217,0.051288,405,B,0.05,,,,,,,,,,
1160,Bladder,MYC,5.8e-05,0.000878,0.001345,405,A,0.05,4.0,,,0.009274,0.0092743001692824,0.0021493545911414,True,,,0.009274
1161,Bladder,MCM3,0.019919,0.058295,0.051711,405,B,0.05,,,,,,,,,,
1162,Bladder,MGMT,0.203725,0.200731,0.242851,405,B,0.05,,,,,,,,,,
1163,Bladder,GAR1,0.004236,0.005328,0.00444,405,B,0.05,4.0,,,0.029711,0.0297111706067682,0.0072421489342807,True,,,0.029711
1164,Bladder,RNF168,0.100018,0.058889,0.070308,405,A,0.05,,,,,,,,,,
1165,Bladder,DLST,0.006074,0.025442,0.021818,405,A,0.05,4.0,2.0,0.0049,0.049707,0.1016222237451592,0.0323849257904681,True,,,0.101622
1166,Bladder,E2F3,0.014253,0.027179,0.035193,405,B,0.05,4.0,1.0,0.0025,0.048608,0.1385752227632525,0.0486080186435566,True,,,0.138575
1167,Bladder,RHOB,0.038267,0.024033,0.029881,405,B,0.05,4.0,1.0,0.0025,0.04194,0.1339586783806634,0.0419396140158641,True,,,0.133959
1168,Bladder,PRKCB,0.070761,0.094563,0.111538,405,B,0.05,,,,,,,,,,
1169,Bladder,NDUFV3,0.235855,0.237468,0.231178,405,A,0.05,,,,,,,,,,
1170,Bladder,PHKA1,0.340095,0.336943,0.393945,405,A,0.05,,,,,,,,,,
1171,Bladder,RAD21,0.233084,0.290847,0.351731,405,B,0.05,,,,,,,,,,
1172,Bladder,POLL,0.002844,0.001476,0.002134,405,B,0.05,4.0,,,0.014342,0.0143415741458868,0.0033160150824531,True,,,0.014342
1173,Bladder,NHP2,0.121192,0.137555,0.171569,405,A,0.05,,,,,,,,,,
1174,Bladder,TGFB1,0.003422,0.023704,0.014078,405,A,0.05,4.0,2.0,0.0049,0.035162,0.078064503265869,0.0211879666124639,True,,,0.078065
1175,Bladder,PPP2R1B,0.170382,0.217176,0.252129,405,B,0.05,,,,,,,,,,
1176,Bladder,CCNB2,0.548618,0.512543,0.469631,405,B,0.05,,,,,,,,,,
1177,Bladder,NDUFS4,0.365838,0.326698,0.326618,405,A,0.05,,,,,,,,,,
